gene_id	3_620	7_624	9_626	11_628	4_621	8_625	10_627	12_629	16_635
ENSG00000000003.14_TSPAN6	637	737	711	434	455	205	569	110	363
ENSG00000000005.6_TNMD	429	353	529	78	22	5	1	1	8
ENSG00000000419.12_DPM1	519	325	385	251	533	272	1098	263	256
ENSG00000000457.14_SCYL3	368	439	330	244	492	266	167	990	424
ENSG00000000460.17_C1orf112	224	142	114	102	542	136	230	266	137
ENSG00000000938.13_FGR	1547	644	528	198	171	113	55	76	167
ENSG00000000971.15_CFH	2127.38	4672.28	2425.32	2670.56	1501.48	4466.07	1831.09	396	1861.65
ENSG00000001036.13_FUCA2	1374	806	770	406	1072	628	2358	287	363
ENSG00000001084.12_GCLC	1637	1585.07	1337	657	535	320	871	826	635
ENSG00000001167.14_NFYA	824	539	616	412	1642	500	1121	808	753
ENSG00000001460.18_STPG1	198	186	172	137	118	120	269	134	160
ENSG00000001461.17_NIPAL3	517	474	459	480	403	366	517	649	932
ENSG00000001497.16_LAS1L	607	505	588	508	725	447	1396	434	599
ENSG00000001561.7_ENPP4	927	849	756	442	493	278	323	773	248
ENSG00000001617.12_SEMA3F	908	579	812	564	793	518	192	812	699
ENSG00000001626.15_CFTR	0	19	2	0	2	0	1	1	52
ENSG00000001629.10_ANKIB1	1961	1752	1758	1056	3523	1657	2379	1177	1409
ENSG00000001630.17_CYP51A1	1113.18	531.2	722.01	378.2	1518.94	460.38	1049.5	525.98	514.29
ENSG00000001631.15_KRIT1	1023.5	984.3	931.05	695.56	1328.55	861.58	1468.53	736.78	851.74
ENSG00000002016.17_RAD52	181	205.17	189.35	188.33	198	228.1	732.42	282.28	202.18
ENSG00000002079.14_MYH16	0	1	0	0	4	2	1	0	3
ENSG00000002330.13_BAD	418	515	393	175	496	340	317	205	343
ENSG00000002549.12_LAP3	2677	1248	1468	725	1805	1732	1186	458	848
ENSG00000002586.20_CD99	2862.5	2432	2326.5	1257	1760	3287	2331.5	433.5	708
ENSG00000002586.20_PAR_Y_CD99	2862.5	2432	2326.5	1257	1760	3287	2331.5	433.5	708
ENSG00000002587.10_HS3ST1	223	42	30	35	158	86	30	32	107
ENSG00000002726.20_AOC1	2	11	0	2	3	0	2	0	2
ENSG00000002745.13_WNT16	0	2	6	1	0	12	0	0	3
ENSG00000002746.15_HECW1	22	32	31	33	66	188	332	47	95
ENSG00000002822.15_MAD1L1	522.78	336.44	512.22	260.79	457.24	263.33	827.32	244.6	279.44
ENSG00000002834.18_LASP1	8988	6087	6662	2841	3716	3820	4026	3547	2571
ENSG00000002919.14_SNX11	425	275	307	140	163	195	248	121	178
ENSG00000002933.9_TMEM176A	708	682	622	273	663	634	183	479	401
ENSG00000003056.8_M6PR	3346	1707	1567	775	2077	999	1271	1253	1200
ENSG00000003096.14_KLHL13	79	109	142	96	39	102	337	26	1073
ENSG00000003137.8_CYP26B1	772	2318	833	960	236	368	22	68	73
ENSG00000003147.19_ICA1	385	531	502	399	493	237	70	970	386
ENSG00000003249.13_DBNDD1	301	67	47	36	346	12	40	236	178
ENSG00000003393.15_ALS2	820	731	753	592	803	758	647	622	684
ENSG00000003400.14_CASP10	959	577	696	377	211	590	122	90	385.52
ENSG00000003402.20_CFLAR	9039.59	9252	10141.56	9835.66	5131.38	4021.11	808	3208.09	5353.46
ENSG00000003436.16_TFPI	2280	2199	3616	2187	294	1479	493	195	1328
ENSG00000003509.16_NDUFAF7	340	281	249	179	235	227	322	126	231
ENSG00000003756.16_RBM5	3378.71	2927.31	3278	2258.78	2502.65	2667	2486.72	2488	3037
ENSG00000003987.14_MTMR7	3	60	7	0	48	4	18	0	13
ENSG00000003989.17_SLC7A2	1385	1195	1518	2007	107	1817	794	70	1629
ENSG00000004059.11_ARF5	1348.35	971	1031	720	2751.37	1055	2946.85	773	1108.41
ENSG00000004139.14_SARM1	506.76	421	445.11	424.12	691.99	566	376.63	378.42	812.52
ENSG00000004142.12_POLDIP2	1555	1215	1185	605	1647	699	1460	850	872
ENSG00000004399.12_PLXND1	13812	9797	10056	5220	3972	7724	3725	2641	3973
ENSG00000004455.16_AK2	1877.76	1546.84	1787.74	964.79	1566.91	927.86	5290.31	1088.93	1320.57
ENSG00000004468.13_CD38	364	105	112	78	152	73	113	3	48
ENSG00000004478.8_FKBP4	682	440	779	684	2129	420	7169	1547	1423
ENSG00000004487.16_KDM1A	1064	705	841	586	1305	872	2650	638	1042
ENSG00000004534.15_RBM6	2422.29	2340.69	3072	1951.22	1834.35	2818	2345.28	2339	2326
ENSG00000004660.14_CAMKK1	223	140	224	124	245	251	129	228	210
ENSG00000004700.16_RECQL	1674	965	1232.57	609.88	986	1013.78	1584	490	466.73
ENSG00000004766.17_VPS50	666	545	530	309	954	517	767	452	501
ENSG00000004776.13_HSPB6	4197	5910	5415	2278	95	388	25	24	350
ENSG00000004777.18_ARHGAP33	159	142	172	205	875	203	388	639	345
ENSG00000004779.10_NDUFAB1	376	383	336	142	420	141	705	423	183
ENSG00000004799.8_PDK4	21527	16123	17829	13140	1097	1436	717	253	5012
ENSG00000004809.14_SLC22A16	41	6	22	17	1	4	364	4	10
ENSG00000004838.14_ZMYND10	3	12	3	6	17	32	17	97	31
ENSG00000004846.16_ABCB5	41	86	58	107	4	128	105	1	89
ENSG00000004848.8_ARX	0	3	2	1	0	1	0	1	5
ENSG00000004864.13_SLC25A13	630	399	424	320	991	375	587	262	316
ENSG00000004866.20_ST7	451	477.82	416	205	563.93	278	798.94	276	314
ENSG00000004897.12_CDC27	2695	1947	2203	1181.97	2126	1568.67	3249.78	996	1089
ENSG00000004939.15_SLC4A1	8	25	94	1	0	7	2	1	2
ENSG00000004948.14_CALCR	21	12	5	1	2	15	0	0	3
ENSG00000004961.15_HCCS	309	324	294	136	286	128	483	155	159
ENSG00000004975.12_DVL2	580	589	489	429	1258	634	900	707	781
ENSG00000005001.10_PRSS22	1	2	2	14	166	11	1	453	90
ENSG00000005007.12_UPF1	2139	1696	2045	1493	2102	1771	3312	1353	1863
ENSG00000005020.13_SKAP2	2607	1699	1651	780	951	907	903	199	736
ENSG00000005022.6_SLC25A5	2559	1349	1442	734	2253	942	4522	1166	1092
ENSG00000005059.16_MCUB	623	293	471	219	368	366	619	208	289
ENSG00000005073.5_HOXA11	32	5	73	4	13	61	11	3	0
ENSG00000005075.15_POLR2J	298.8	264.78	222.63	117.43	510.26	237.88	648.99	178.67	204.3
ENSG00000005100.13_DHX33	581	333	410	313	790	332	1099	397	492
ENSG00000005102.13_MEOX1	932	796	990	505	22	302	0	0	230
ENSG00000005108.16_THSD7A	365	513	1359	714	98	1317	35	90	715
ENSG00000005156.11_LIG3	793	681	780	544	1689	687	1289	1753	1287
ENSG00000005175.10_RPAP3	540	378	380	183	431	308	758	331	427
ENSG00000005187.12_ACSM3	33	11	18	79	77	25	24	36	254
ENSG00000005189.19_REXO5	77	73	64	61	192	40	263	122	47
ENSG00000005194.15_CIAPIN1	368	299	240	198	329	252	593	161	236
ENSG00000005206.17_SPPL2B	892	791	935	770	740	806	634	1156	1121
ENSG00000005238.19_FAM214B	981	624	665	310	401	410	242	244	222
ENSG00000005243.10_COPZ2	487	545	487	206	156	789	536	73	97
ENSG00000005249.13_PRKAR2B	8289	13439	10748	2779	442	153	94	711	535
ENSG00000005302.18_MSL3	850	660	655	423	1086	584	1131	410	496
ENSG00000005339.14_CREBBP	5218	4078	5488	4420	4960	3955	5182	5795	5414
ENSG00000005379.17_TSPOAP1	131	185	114	196	2087	539	151	805	1240
ENSG00000005381.7_MPO	20	8	5	6	8	13	47	0	7
ENSG00000005421.8_PON1	7	1	5	0	0	2	1	6	2
ENSG00000005436.13_GCFC2	408	364	420	278	511	254	499	338	350
ENSG00000005448.16_WDR54	61	32	40	50	55	96	214	167	100
ENSG00000005469.11_CROT	190	179	192	120	211	290	263	269	302
ENSG00000005471.17_ABCB4	93	45	50	16	60	117	19	58	20
ENSG00000005483.20_KMT2E	3448	3073	4018	2502	3213	2503	2807	2407	3250
ENSG00000005486.17_RHBDD2	864	690	734	320	889	313	727	577	601
ENSG00000005513.10_SOX8	28	7	27	40	223	30	119	10	95
ENSG00000005700.15_IBTK	2290	1533	1633	1073	1693	1544	3023	1623	1225
ENSG00000005801.18_ZNF195	726	593	514	351	757	718	489	757	780
ENSG00000005810.18_MYCBP2	11950	10363	16777	7129	5288	5805	5527	2800	5261
ENSG00000005812.11_FBXL3	1431	1647	1604	1288	1405	1158	1489	903	1179
ENSG00000005844.17_ITGAL	510	259	299	56	260	293	131	167	623
ENSG00000005882.11_PDK2	901	1094	939	596	468	326	1197	347	460
ENSG00000005884.18_ITGA3	1587	1116	924	1498	677	1249	3392	1243	2320
ENSG00000005889.15_ZFX	2275	2109	2089	1351	2090	1718	1847	1021	1814
ENSG00000005893.15_LAMP2	3640	2340	2303	1300	4334	2061	4107	1702	1571
ENSG00000005961.18_ITGA2B	19	18	16	18	128	6	41	34	31
ENSG00000005981.13_ASB4	5	4	3	3	2	0	12	3	4
ENSG00000006007.12_GDE1	1431	1480	1249	468	905	658	956	1147	556
ENSG00000006015.17_REX1BD	510	522	464	345	598	544	570	332	550
ENSG00000006016.11_CRLF1	33	77	45	223	87	57	19	33	25
ENSG00000006025.12_AC003665.1	223	161	149	190	223	291	429	265	329
ENSG00000006042.12_TMEM98	204	320	293	219	780	822	187	157	787
ENSG00000006047.13_YBX2	130	264	248	106	154	6	140	297	55
ENSG00000006059.3_KRT33A	0	0	0	0	0	0	0	0	1
ENSG00000006062.16_MAP3K14	475	365	508	389	354	429	794	498	884
ENSG00000006071.13_ABCC8	19	36	48	16	3	16	48	592	269
ENSG00000006116.3_CACNG3	0	0	0	0	0	0	0	0	0
ENSG00000006118.14_TMEM132A	149	62	104	153	1924	211	380	882	524
ENSG00000006125.18_AP2B1	3942	3189	3642	2099	3851	2854	3826	3046	2929.99
ENSG00000006128.12_TAC1	1	1	3	14	0	12	0	0	5
ENSG00000006194.10_ZNF263	498	460	378	331	796	490	928	1031	656
ENSG00000006210.7_CX3CL1	589	578	912	1457	1484	626	72	244	5399
ENSG00000006282.21_SPATA20	618	883	767	312	379	1047	667	1220	742
ENSG00000006283.18_CACNA1G	9	4	33	71	6	362	308	36	236
ENSG00000006327.13_TNFRSF12A	553	89	365	332	978	365	837	933	782
ENSG00000006377.11_DLX6	3	1	0	4	22	9	6	1	5
ENSG00000006432.15_MAP3K9	51	59	11	83	385	48	121	411	457
ENSG00000006451.8_RALA	1115	943	871	448	1509	634	1870	388	489
ENSG00000006453.14_BAIAP2L1	128	107	263	267	1557	258	380	278	455
ENSG00000006459.11_KDM7A	1677	1596	1961	1623	1489	1330	1522	1069	1033
ENSG00000006468.14_ETV1	162	114	95	137	273	248	564	69	402
ENSG00000006530.17_AGK	584	414	558	396	786	381	1458	496	403
ENSG00000006534.16_ALDH3B1	731	466	318	126	188	274	720	84.19	115.42
ENSG00000006555.11_TTC22	3	6	4	39	263	16	6	261	228
ENSG00000006576.16_PHTF2	1244	705	770	394	1792	848	1737	495	525
ENSG00000006606.8_CCL26	17	4	5	2	3	10	14	0	0
ENSG00000006607.14_FARP2	1171	1012	1065	751	1427	837.02	959	829	1057
ENSG00000006611.16_USH1C	0	3	0	0	3	0	0	0	21
ENSG00000006625.18_GGCT	413.42	209.4	293.34	310.43	370.12	192	991.45	892.27	255.54
ENSG00000006634.8_DBF4	261	89	89.93	98	681.97	91.8	950.96	137	129
ENSG00000006638.11_TBXA2R	103	89	81	55	110	128	7	24	38
ENSG00000006652.14_IFRD1	1033	809	833	871	1663	495	2269	355	791
ENSG00000006659.13_LGALS14	0	0	0	0	0	0	0	1	0
ENSG00000006695.11_COX10	368	274	243	159	214	145	297	264	192
ENSG00000006704.10_GTF2IRD1	293	311	312	198	571	320	860	654	466
ENSG00000006712.15_PAF1	682	617	665	437	622	395	542	511	563
ENSG00000006715.16_VPS41	1558	1514	1454	803	1560	1052	1814	953	1080
ENSG00000006740.17_ARHGAP44	165	125	141	124	276	194	115	293	395
ENSG00000006744.19_ELAC2	1330	987	994	643	967	698	1382	691	844
ENSG00000006747.15_SCIN	276	197.56	115	49	116.37	277	81	40.32	68
ENSG00000006756.16_ARSD	906	761	867	717	2109	692	1705	815	1614
ENSG00000006757.12_PNPLA4	305	354	280	114	157	95	439	237	185
ENSG00000006788.14_MYH13	0	0	0	0	0	0	4	1	0
ENSG00000006831.10_ADIPOR2	3123	4302	4089	1941	1561	787	3127	735	811
ENSG00000006837.12_CDKL3	26.42	14	24.28	9.07	14.58	15.76	79.79	3.53	10.15
ENSG00000007001.12_UPP2	0	1	1	0	0	3	0	0	1
ENSG00000007038.11_PRSS21	3	0	0	0	2	0	0	0	0
ENSG00000007047.15_MARK4	864	713	806	514	803	553	688	363	812
ENSG00000007062.11_PROM1	6	33	5	191	1977	26	16	28	1840
ENSG00000007080.11_CCDC124	666	636	597	310	539	309	1172	369	263
ENSG00000007129.18_CEACAM21	37	24	30	10	16	27	8	3	21
ENSG00000007168.13_PAFAH1B1	4131.56	3949	3943	2492	4098	3342	3322	2029	3107
ENSG00000007171.17_NOS2	34	22	16	2	23	4	8	10	12
ENSG00000007174.18_DNAH9	59	52	90	49	2	5	1	5	68
ENSG00000007202.15_KIAA0100	7000	5214	5590	2614	6122	3659	4215	2342	4641
ENSG00000007216.14_SLC13A2	0	0	0	32	5	0	0	8	61
ENSG00000007237.18_GAS7	4878	2696	5937	1828	2069	2533	482	662	1327
ENSG00000007255.10_TRAPPC6A	83	104	114	62	146	71	301	134	142
ENSG00000007264.15_MATK	303	166	22	2	34	54	39	16	60
ENSG00000007306.15_CEACAM7	0	0	0	0	0	0	0	22	1
ENSG00000007312.12_CD79B	73	49	61	51	82	89	3	2	73
ENSG00000007314.12_SCN4A	1149	882	1021	2382	34	52	16	73	69
ENSG00000007341.19_ST7L	349	250	323	243	290	213	948	194	253
ENSG00000007350.17_TKTL1	7	4	3	0	1	0	1	2	1
ENSG00000007372.22_PAX6	2	0	0	40	25	154	862	6	0
ENSG00000007376.8_RPUSD1	242	203	174	122	405	169	405	312	203
